id,judul,tanggal,format,platform,status,catatan,tanggal_asal,drive_folder_url
ad5cb26a-682b-436d-9dfe-2240fa0d1dd1,Greeting Hari Buruh Internasional,2026-05-01,Single Post,"Instagram, Facebook",Posted,Hari Buruh Internasional,,
7db10d5a-99ee-47e8-a1c7-958815eecd56,Greeting Hari Pendidikan Nasional,2026-05-02,Single Post,"Instagram, Facebook",Posted,Hari Pendidikan Nasional,,
315c3c6d-314c-4b85-96a4-f40943b1db46,Greeting Hari Kenaikan Yesus Kristus,2026-05-14,Single Post,"Instagram, Facebook",Posted,Kenaikan Yesus Kristus,,
528af533-ccbd-47c5-ac2a-10c568084601,BPOM Mobile: Cek Izin Edar dalam Hitungan Detik,2026-05-16,Video,"Instagram, TikTok, Facebook",Posted,Agenda 6 — Kampanye BPOM Mobile | Rescheduled,2026-05-05,
b0cd1a6c-852d-43fd-8604-5e8107bb5a7e,Greeting Hari Kebangkitan Nasional,2026-05-20,Infografis/Quote,"Instagram, Facebook",Posted,Hari Kebangkitan Nasional,,
3182c3df-0f47-4181-a857-cee246df3fe9,UMKM Pangan Lokal Naik Kelas,2026-05-21,Infografis,"Instagram, Facebook",Draft,Agenda 2 — SAPA UMK | Rescheduled dari 18 Mei: naskah belum ada,2026-05-18,
2b26a869-5231-4095-bd3c-5cf551a747df,Jamu: Warisan Lokal Berkualitas Global,2026-05-27,Reels/TikTok,"Instagram, TikTok",Draft,"Hari Jamu Nasional + Iduladha 1447 H, Agenda 1",,
56f2a3ea-356c-4a9a-bb6e-943ea2221404,Kenali dan Hindari Penyalahgunaan Obat Tertentu,2026-05-29,Story/Poster,Instagram,Posted,Agenda 3 — Pencegahan OOT | Rescheduled dari 19 Mei: naskah belum ada,2026-05-19,
088f5ea5-256b-4b10-ab27-c2f982ea8f5f,Integritas dalam Pelayanan BPOM,2026-05-29,Quote/Poster,"Instagram, Facebook",Draft,Agenda 7 — Antikorupsi,,
e9519d03-77d8-43a5-8e3e-6e4bda6dd338,Cegah Stunting dari Piring Keluarga,2026-05-31,Single Post,"Instagram, Facebook",Posted,"Agenda 5 — Stunting Seri #1, Naskah v2 final tersedia | Dijadwalkan ulang: belum ada waktu untuk pengerjaan versi siap posting",2026-05-17,
